snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version
60,MCSNR J0534-7033,J0534-7033,83.56208333333332,-70.56277777777777,SNR,4.1,4.1,4.1,2.05,59.63203999999999,0.0,circle,0.712,0.02,False,Ia?,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L238,1.55,,13500.0,,-0.44,0.09,0.0796,0.833,11000.0,0.0515,True,True,True,False,False,False,,3
61,MCSNR J0535-6602,J0535-6602,83.93708333333332,-66.03583333333333,SNR,3.1,3.1,3.1,1.55,45.08764,0.0,circle,83.3,0.1,False,CC?,0.0,0.0,WM66,Westerlund & Mathewson 1966,verify-bibcode,,,N63A,185.68,0.46,3500.0,1500.0,-0.74,0.02,1.8641,2.04,6610.0,3.04,True,True,True,False,False,False,,3
62,MCSNR J0535-6916,J0535-6916,83.86541666666666,-69.27083333333333,SNR,1.4,1.4,1.4,0.7,20.36216,0.0,circle,6.61,0.05,False,CC?,0.0,0.0,HISTORICAL,HISTORICAL,unmapped,,,SNR1987A,27.39,1.16,28.0,,-0.68,0.03,0.82,,,,True,True,False,False,False,False,,3
63,MCSNR J0535-6918,J0535-6918,83.94666666666664,-69.30388888888889,SNR,2.2,2.2,2.2,1.1,31.997680000000003,0.0,circle,0.129,0.017,False,CC,0.0,0.0,CDS95,CDS95,unmapped,,,Honeycomb,0.4,,,,-0.71,0.05,0.1483,0.11,9390.0,0.248,True,True,True,False,False,False,,3
64,MCSNR J0536-6735,J0536-6735,83.98416666666665,-67.56861111111111,SNR,6.8,3.6,5.2,2.6,75.63088,66.0,ellipse,1.37,0.02,False,CC?,0.6153846153846153,0.8483650059915269,MFT85,Mathewson et al. 1985,verify-bibcode,,,DEM L241,3.84,0.66,10000.0,,,,,0.797,14900.0,0.0728,True,True,True,False,False,False,,3
65,MCSNR J0536-6913,J0536-6913,84.06416666666665,-69.21861111111112,SNR,1.8,1.8,1.8,0.9,26.17992,0.0,circle,0.122,0.01,False,CC?,0.0,0.0,KSB15a,KSB15a,unmapped,,,B0536-6914,0.22,1.11,3550.0,1350.0,,,,0.0435,4200.0,0.098,True,True,True,False,False,False,,3
66,MCSNR J0536-7039,J0536-7039,84.00541666666665,-70.64055555555557,SNR,4.5,4.5,4.5,2.25,65.4498,0.0,circle,0.7,0.019,False,Ia?,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L249,1.43,,15000.0,,-0.52,0.06,0.0699,0.168,20900.0,0.0434,True,True,True,False,False,False,,3
67,MCSNR J0537-6628,J0537-6628,84.37875,-66.46444444444445,SNR,4.4,3.0,3.7,1.85,53.81428,315.0,ellipse,0.131,0.006,False,Ia,0.37837837837837845,0.7315216790650492,KPS10,"Klimek, Points & Smith 2010",verify-bibcode,,,DEM L256,0.32,0.25,,,-0.47,0.06,0.0729,0.415,20100.0,0.0317,True,True,True,False,False,False,,3
68,MCSNR J0537-6910,J0537-6910,84.4475,-69.1713888888889,SNR,2.6,2.6,2.6,1.3,37.81544,0.0,circle,2.86,0.03,False,CC?,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N157B,15.0,1.73,5000.0,,-0.38,0.03,2.8817,10.8,1310.0,0.0776,True,True,True,False,False,False,,3
69,MCSNR J0540-6920,J0540-6920,85.04291666666666,-69.33305555555555,SNR,1.4,1.4,1.4,0.7,20.36216,0.0,circle,10.8,0.1,False,CC?,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,B0540-693,87.35,1.58,1600.0,,-0.63,0.03,1.0272,0.235,6040.0,0.601,True,True,True,False,False,False,,3
70,MCSNR J0540-6944,J0540-6944,85.02541666666666,-69.73333333333333,SNR,1.4,1.4,1.4,0.7,20.36216,0.0,circle,0.946,0.018,False,CC,0.0,0.0,CKS97,CKS97,unmapped,,,N159,0.43,1.92,,,,,,0.649,19000.0,0.449,True,True,True,False,False,False,,3
71,MCSNR J0541-6659,J0541-6659,85.45625,-66.97888888888889,SNR,5.6,5.6,5.6,2.8,81.44864,0.0,circle,0.345,0.01,False,Ia,0.0,0.0,GSH12,GSH12,unmapped,,,[HP99] 456,0.77,,,,,,,0.5,26500.0,0.0166,True,True,True,True,False,False,,3
72,MCSNR J0542-7104,J0542-7104,85.675,-71.07472222222222,SNR,1.7,1.7,1.7,0.85,24.72548,0.0,circle,0.057,0.0075,False,,0.0,0.0,Y20,"Yew 2020, PhD thesis",verify-bibcode,,,,,,,,,,,,,,False,False,False,True,True,False,,3
73,MCSNR J0543-6624,J0543-6624,85.95249999999999,-66.39750000000001,SNR,5.6,5.6,5.6,2.8,81.44864,0.0,circle,0.105,0.007,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
74,MCSNR J0543-6858,J0543-6858,85.77458333333333,-68.98416666666667,SNR,5.6,5.6,5.6,2.8,81.44864,0.0,circle,0.709,0.02,False,CC,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,DEM L299,1.68,0.4,,,,,,4.44,13700.0,0.025,True,True,True,False,False,False,,3
75,MCSNR J0547-6941,J0547-6941,86.84666666666665,-69.68972222222223,SNR,2.7,2.7,2.7,1.35,39.26988,0.0,circle,0.63,0.013,False,Ia?,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,DEM L316A,1.26,0.92,27000.0,,-0.54,0.16,0.5217,0.771,4950.0,0.105,True,True,True,False,False,False,,3
76,MCSNR J0547-6943,J0547-6943,86.74666666666666,-69.71805555555555,SNR,4.4,3.0,3.7,1.85,53.81428,35.0,ellipse,0.62,0.014,False,CC,0.37837837837837845,0.7315216790650492,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,DEM L316B,1.47,0.63,,,-0.53,0.16,0.7282,0.362,18600.0,0.13,True,True,True,False,False,False,,3
77,MCSNR J0547-7025,J0547-7025,86.95083333333332,-70.415,SNR,3.4,3.4,3.4,1.7,49.45096,0.0,circle,1.7,0.02,False,Ia?,0.0,0.0,MFD83,MFD83,unmapped,,,B0548-704,2.94,0.88,7100.0,,-0.56,0.03,0.0632,0.257,11700.0,0.271,True,True,True,False,False,False,,3
78,MCSNR J0550-6823,J0550-6823,87.62874999999998,-68.39527777777778,SNR,7.0,5.6,6.3,3.15,91.62972,25.0,ellipse,0.494,0.012,False,CC,0.2222222222222223,0.6000000000000001,BFC12b,BFC12b,unmapped,,,DEM L328,1.22,1.22,,,-0.41,0.02,0.6495,,,,True,True,False,False,False,False,,3
c01,J0444-6758,J0444-6758,71.11583333333333,-67.97027777777778,SNR_candidate,2.6,1.8,2.2,1.1,31.997680000000003,80.0,ellipse,,,True,,0.36363636363636365,0.7216024245882199,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c02,J0450-6818,J0450-6818,72.55166666666666,-68.30138888888888,SNR_candidate,7.4,6.6,7.0,3.5,101.8108,105.0,ellipse,,,True,,0.1142857142857144,0.4522486629913924,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c03,J045145.7-671724,J045145.7-671724,72.94041666666665,-67.28999999999999,SNR_candidate,9.8,5.6,7.7,3.85,111.99188,60.0,ellipse,0.206,0.019,False,,0.5454545454545455,0.8206518066482898,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c04,J0451-6906,J0451-6906,72.91208333333333,-69.10722222222222,SNR_candidate,10.0,6.4,8.2,4.1,119.26407999999998,345.0,ellipse,,,True,,0.43902439024390244,0.7683749084919418,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c05,J0451-6951,J0451-6951,72.96958333333333,-69.86138888888888,SNR_candidate,2.8,2.8,2.8,1.4,40.72432,0.0,circle,,,True,,0.0,0.0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c06,J0452-6638,J0452-6638,73.17583333333334,-66.64527777777778,SNR_candidate,4.6,6.6,5.6,2.8,81.44864,0.0,ellipse,0.015,0.0183,False,,0.35714285714285715,0.7171005797696505,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c07,J0455-6830,J0455-6830,73.90333333333334,-68.50972222222222,SNR_candidate,1.3,1.3,1.3,0.65,18.90772,0.0,circle,,,True,,0.0,0.0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c08,J045625.5-683052,J045625.5-683052,74.10624999999999,-68.51444444444445,SNR_candidate,2.7,2.7,2.7,1.35,39.26988,0.0,circle,0.029,0.0078,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c09,J0457-6739,J0457-6739,74.38749999999999,-67.65138888888889,SNR_candidate,2.5,2.5,2.5,1.25,36.361,0.0,circle,,,True,,0.0,0.0,B17,2017ApJS..230....2B,ok,,,B17-Candidates-New,,,,,-0.5,0.0,0.0304,,,,False,True,False,False,False,False,,3
c10,J0457-6823,J0457-6823,74.38999999999999,-68.39416666666668,SNR_candidate,6.6,3.8,5.199999999999999,2.5999999999999996,75.63087999999999,330.0,ellipse,0.025,0.0128,False,,0.5384615384615385,0.8176204583776995,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c11,J0457-6923,J0457-6923,74.2825,-69.39944444444446,SNR_candidate,4.0,3.4,3.7,1.85,53.81428,90.0,ellipse,,,True,,0.16216216216216217,0.526782687642637,B17,2017ApJS..230....2B,ok,,,B17-Candidates,,,,,,,,,,,False,True,False,False,False,False,,3
c12,J0459-6757,J0459-6757,74.97916666666666,-67.95027777777779,SNR_candidate,4.4,3.8,4.1,2.05,59.63203999999999,357.0,ellipse,0.012,0.0098,False,,0.14634146341463428,0.5041152957458827,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c13,J0459-7008b,J0459-7008b,74.91125,-70.14361111111111,SNR_candidate,3.8,3.2,3.5,1.75,50.9054,150.0,ellipse,0.173,0.014,False,,0.17142857142857132,0.5393131982083998,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c14,J0502-6739,J0502-6739,75.51041666666666,-67.65861111111111,SNR_candidate,6.4,5.6,6.0,3.0,87.2664,60.0,ellipse,,,True,,0.13333333333333344,0.48412291827592735,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c15,J0504-6901,J0504-6901,76.01999999999998,-69.02,SNR_candidate,8.6,8.2,8.399999999999999,4.199999999999999,122.17295999999997,22.0,ellipse,0.047,0.0248,False,,0.04761904761904767,0.30142979992594693,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c16,J0506-6509,J0506-6509,76.70458333333332,-65.15527777777778,SNR_candidate,6.4,6.2,6.300000000000001,3.1500000000000004,91.62972000000002,170.0,ellipse,,,True,,0.03174603174603177,0.2480391854123056,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c17,J050750.8-714241,J050750.8-714241,76.96166666666666,-71.71138888888889,SNR_candidate,4.8,3.8,4.3,2.15,62.54092,359.0,ellipse,0.056,0.0141,False,,0.23255813953488372,0.6109532624422991,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c18,J0507-7110,J0507-7110,76.89708333333331,-71.17083333333333,SNR_candidate,7.4,6.0,6.7,3.35,97.44748,0.0,ellipse,,,True,,0.20895522388059706,0.5853083196677761,B17,2017ApJS..230....2B,ok,,,B17-Candidates-New,,,,,,,,,,,False,True,False,False,False,False,,3
c19,J0508-6928,J0508-6928,77.19375,-69.47111111111111,SNR_candidate,5.5,5.5,5.5,2.75,79.99419999999999,0.0,circle,,,True,,0.0,0.0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c20,J0509-6402,J0509-6402,77.31458333333333,-64.03527777777778,SNR_candidate,5.4,4.0,4.7,2.35,68.35867999999999,50.0,ellipse,0.031,0.0076,False,,0.29787234042553196,0.6717910054524836,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c21,J051028.3-685329,J051028.3-685329,77.61791666666667,-68.8913888888889,SNR_candidate,3.7,3.7,3.7,1.85,53.81428,0.0,circle,0.072,0.0113,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c22,J0513-6731,J0513-6731,78.36208333333332,-67.53138888888888,SNR_candidate,5.0,3.6,4.3,2.15,62.54092,60.0,ellipse,0.044,0.0096,False,,0.3255813953488372,0.6939740629158988,B17,2017ApJS..230....2B,ok,,,B17-Candidates,,,,,-0.56,0.41,0.0261,,,,False,True,False,False,False,False,,3
c23,J0517-6757,J0517-6757,79.47333333333331,-67.95694444444445,SNR_candidate,1.4,1.4,1.4,0.7,20.36216,0.0,circle,,,True,,0.0,0.0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c24,J052126.5-685245,J052126.5-685245,80.36041666666665,-68.87916666666666,SNR_candidate,5.2,5.2,5.2,2.6,75.63088,0.0,circle,0.084,0.0141,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c25,J052136.6-670741,J052136.6-670741,80.40249999999999,-67.12805555555555,SNR_candidate,6.6,6.6,6.6,3.3,95.99304,0.0,circle,0.031,0.0137,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c26,J052148.7-693649,J052148.7-693649,80.45291666666665,-69.61361111111111,SNR_candidate,5.2,5.2,5.2,2.6,75.63088,0.0,circle,0.136,0.02,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c27,J052330.7-680400,J052330.7-680400,80.87791666666666,-68.06666666666666,SNR_candidate,3.9,3.9,3.9,1.95,56.72316,0.0,circle,0.041,0.0102,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c28,J052502.7-662125,J052502.7-662125,81.26124999999999,-66.35694444444444,SNR_candidate,5.1,5.1,5.1,2.55,74.17643999999999,0.0,circle,0.119,0.011,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c29,J052849.7-671913,J052849.7-671913,82.20708333333333,-67.32027777777778,SNR_candidate,3.8,3.8,3.8,1.9,55.26872,0.0,circle,0.037,0.0082,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c30,J0528-7018,J0528-7018,82.19166666666666,-70.29916666666666,SNR_candidate,9.2,8.8,9.0,4.5,130.8996,140.0,ellipse,0.011,0.0331,False,,0.04444444444444429,0.2916610405434503,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c31,J053224.5-655411,J053224.5-655411,83.10208333333331,-65.90305555555557,SNR_candidate,2.8,2.8,2.8,1.4,40.72432,0.0,circle,0.038,0.005,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c32,J0534-6700,J0534-6700,83.67666666666665,-66.99861111111112,SNR_candidate,3.0,2.6,2.8,1.4,40.72432,0.0,ellipse,0.017,0.0044,False,,0.14285714285714282,0.4988876515698588,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c33,J0534-6720,J0534-6720,83.52041666666665,-67.3475,SNR_candidate,2.7,2.7,2.7,1.35,39.26988,0.0,circle,0.099,0.0127,False,,0.0,0.0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c34,J0538-6921,J0538-6921,84.56124999999997,-69.35666666666665,SNR_candidate,5.6,5.4,5.5,2.75,79.99419999999999,0.0,ellipse,0.383,0.024,False,,0.03636363636363624,0.26486423168198764,B17,2017ApJS..230....2B,ok,,,B17-Candidates,,,,,-0.59,0.04,0.5207,,,,False,True,False,False,False,False,,3
c35,J0538-7004,J0538-7004,84.68708333333332,-70.07333333333332,SNR_candidate,1.3,1.3,1.3,0.65,18.90772,0.0,circle,,,True,,0.0,0.0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c36,J0539-7001,J0539-7001,84.89791666666666,-70.03111111111112,SNR_candidate,6.0,2.4,4.2,2.1,61.08648,135.0,ellipse,0.308,0.014,False,,0.8571428571428571,0.916515138991168,HP99,1999A&AS..139..277H (Haberl & Pietsch 1999),ok,,,B17-Candidates,,,,,-0.47,0.41,0.0054,,,,False,True,False,False,False,False,,3
c37,J0542-6852,J0542-6852,85.49708333333332,-68.86694444444444,SNR_candidate,6.0,5.8,5.9,2.95,85.81196,343.0,ellipse,0.075,0.0158,False,,0.03389830508474579,0.25603819159562036,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c38,J0543-6906,J0543-6906,85.8625,-69.12249999999999,SNR_candidate,7.3,7.3,7.3,3.65,106.17412,0.0,circle,0.397,0.025,False,,0.0,0.0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c39,J0543-6923,J0543-6923,85.81875,-69.39083333333333,SNR_candidate,9.6,7.0,8.3,4.15,120.71852000000001,0.0,ellipse,,,True,,0.3132530120481927,0.6843361544023684,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c40,J0543-6928,J0543-6928,85.77624999999999,-69.47833333333334,SNR_candidate,4.8,3.0,3.9,1.95,56.72316,35.0,ellipse,0.036,0.0118,False,,0.4615384615384615,0.7806247497997998,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
c41,J0548-6941,J0548-6941,87.20499999999998,-69.68944444444445,SNR_candidate,5.2,3.2,4.2,2.1,61.08648,150.0,ellipse,,,True,,0.47619047619047616,0.7882269819968921,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c42,J054949.7-700145,J054949.7-700145,87.45708333333333,-70.02916666666667,SNR_candidate,5.2,3.4,4.3,2.15,62.54092,160.0,ellipse,0.058,0.0082,False,,0.4186046511627908,0.7566275220348463,Za24,2024A&A...692A.237Z,ok,,,,,,,,,,,,,,False,False,False,False,False,False,,3
c43,J0549-6618,J0549-6618,87.37666666666665,-66.2936111111111,SNR_candidate,2.2,2.0,2.1,1.05,30.54324,45.0,ellipse,,,True,,0.09523809523809532,0.416597790450531,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c44,J0549-6633,J0549-6633,87.35666666666665,-66.56277777777777,SNR_candidate,5.8,4.2,5.0,2.5,72.722,45.0,ellipse,,,True,,0.31999999999999995,0.689655172413793,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,3
c45,MCSNR J0614-7251,J0614-7251,93.65874999999998,-72.85333333333332,SNR,3.6,3.6,3.6,1.8,52.35984,0.0,circle,0.276,0.012,False,,0.0,0.0,Za24,2024A&A...692A.237Z,ok,Sa25,2025A&A...693L..15S,J061438.1-725112,,,,,,,,,,,False,False,False,False,False,False,eROSITA SNR candidate (Zangrandi+24) confirmed as an LMC SNR by Sasaki+25 (2025A&A...693L..15S): environment density and X-ray properties similar to the known LMC SNR population.,3
c46,MCSNR J0624-6948,J0624-6948,96.05624999999999,-69.8086111111111,SNR,4.5,4.5,4.5,2.25,65.4498,0.0,circle,0.037,0.0073,False,,0.0,0.0,F22,"2022MNRAS.512..265F",ok,Sa25,2025A&A...693L..15S,,,,,,,,,,,,False,False,False,False,False,False,"SNR candidate (Filipovic+22; Zangrandi+24) confirmed as an LMC SNR by Sasaki+25 (2025A&A...693L..15S): radio shell spectral index and polarisation typical of an SNR; low-density environment, n0 < 0.01 cm^-3.",3
